link_id,from_id,to_id,is_connector,funcclass,lanes,speed,length
16665:9594;16665:9596,16665:9594,16665:9596,f,7,,50,2.24464807894991
20656:340970;2:456054,20656:340970,2:456054,f,7,,40,25.7283741771961
22846:948;11162:292489,22846:948,11162:292489,f,7,,70,669.869786230138
2:3709632;2:3709765,2:3709632,2:3709765,f,7,,40,59.7353700918722
1:209203500;2:462687,1:209203500,2:462687,f,5,2,70,17.5870176264313
2:456720;2:456748,2:456720,2:456748,f,7,,30,64.4875014633871
10027:794364;2:452345,10027:794364,2:452345,f,4,2,80,873.527326078002
16669:27553;16669:27555,16669:27553,16669:27555,f,0,2,80,63.1481173576654
12847:4451;12847:4461,12847:4451,12847:4461,f,1,1,70,10.710279415724
2:3707295;18931:167090,2:3707295,18931:167090,f,7,,30,69.9897646603644
2:3709959;11178:5065,2:3709959,11178:5065,f,7,,50,43.3079916864469
2:456965;2:456978,2:456965,2:456978,f,7,,30,75.6636737146691
2:445884;2:446051,2:445884,2:446051,f,5,1,40,153.36416713542
10027:794364;2:451728,10027:794364,2:451728,f,4,2,80,2354.33997313895
10017:23075;10017:23063,10017:23075,10017:23063,f,5,,50,147.102848356786
20656:2836212;20656:2836362,20656:2836212,20656:2836362,f,7,,40,53.1355795960254
2:457204;16592:21450,2:457204,16592:21450,f,7,,40,144.163436440447
20656:4222755;2:454501,20656:4222755,2:454501,f,7,,50,84.0123188745552
2:3708568;2:453350,2:3708568,2:453350,f,4,2,50,12.5261635385521
2:3708472;2480C1480,2:3708472,2480C1480,t,7,,30,100
11155:30843;2:452221,11155:30843,2:452221,f,5,2,50,74.383700763166
1:200303011;12737:27910,1:200303011,12737:27910,f,3,2,70,284.755238438569
2:448661;2:448634,2:448661,2:448634,f,5,2,40,99.8705395134674
2:460282;2:460280,2:460282,2:460280,f,7,,30,29.9719300033152
20656:769066;20656:2876851,20656:769066,20656:2876851,f,7,,50,11.8955526557342
2:3709472;20656:2836362,2:3709472,20656:2836362,f,7,,40,10.5393712812448
2:460285;2:459464,2:460285,2:459464,f,7,,70,3388.66595910888
2:456856;20656:2870448,2:456856,20656:2870448,f,7,,30,2.44350731532195
1:210103300;2:3707239,1:210103300,2:3707239,f,3,2,80,613.981293305419
20656:376027;2:446635,20656:376027,2:446635,f,4,2,60,15.5293179824406
2:456605;20656:2890325,2:456605,20656:2890325,f,7,,30,17.7431607385738
2:3708702;2:3708557,2:3708702,2:3708557,f,0,2,80,366.260497301548
20656:2869750;2480C1440,20656:2869750,2480C1440,t,7,,30,100
2:3708801;2:3709051,2:3708801,2:3709051,f,7,,30,157.180572798216
2:3709638;2:3709639,2:3709638,2:3709639,f,7,,30,59.5854302994677
16669:27153;16669:27135,16669:27153,16669:27135,f,0,2,80,610.55667591526
2:450828;2:3707530,2:450828,2:3707530,f,7,,30,65.5025740925386
11178:6045;2:455201,11178:6045,2:455201,f,7,,40,366.453269586008
12847:7385;12847:7416,12847:7385,12847:7416,f,3,2,60,18.5475339798893
2:450717;2:450703,2:450717,2:450703,f,4,2,50,55.8761851203214
2:455641;2:455628,2:455641,2:455628,f,7,,40,91.7933511589376
20656:2832201;2:460323,20656:2832201,2:460323,f,7,,40,13.561209422914
2:459962;2:459979,2:459962,2:459979,f,7,,30,71.2760295075338
16594:23164;12726:148605,16594:23164,12726:148605,f,7,,40,29.9772391899242
12734:47850;12734:47834,12734:47850,12734:47834,f,5,,50,13.4860722070179
18931:171670;18931:171729,18931:171670,18931:171729,f,7,,70,537.435335397159
20656:375883;20656:2868795,20656:375883,20656:2868795,f,7,,50,25.8051706983604
16587:25092;16587:25088,16587:25092,16587:25088,f,7,,50,36.8838298291892
11179:376;2:462864,11179:376,2:462864,f,7,,30,54.1994436023055
1:210101900;2:3706447,1:210101900,2:3706447,f,5,1,70,401.333996730643
2:3710346;2:458158,2:3710346,2:458158,f,4,2,70,137.639853800406
10446:230;19328:1937,10446:230,19328:1937,f,1,2,70,10.0102861598937
2:453983;20656:2878895,2:453983,20656:2878895,f,7,,40,11.4125631649433
11158:481776;10027:773781,11158:481776,10027:773781,f,4,2,50,32.9230234280989
2:456432;2:456374,2:456432,2:456374,f,7,,30,78.1789798304397
2:460765;11180:1141,2:460765,11180:1141,f,5,,40,160.343646983589
2:446630;2:446976,2:446630,2:446976,f,7,,70,1391.80477957587
20656:2869676;11178:6868,20656:2869676,11178:6868,f,7,,40,28.4299084423645
20656:2824848;2:462595,20656:2824848,2:462595,f,7,,30,5.39736361485021
16587:25353;16587:25341,16587:25353,16587:25341,f,7,,50,60.58136072026
2:460182;20656:2832225,2:460182,20656:2832225,f,7,,30,5.12916075032326
2:455590;2:455802,2:455590,2:455802,f,7,,30,121.6812965841
2:448998;2:449006,2:448998,2:449006,f,3,2,90,75.7042097316364
12734:214579;16593:46468,12734:214579,16593:46468,f,7,,70,714.936571413
20656:2826458;2:451092,20656:2826458,2:451092,f,5,,40,66.0898005786158
2:459634;2:3710930,2:459634,2:3710930,f,5,,40,171.148733323587
10446:284;18931:176331,10446:284,18931:176331,f,1,2,70,23.2857040696625
22846:761;2:449248,22846:761,2:449248,f,5,2,70,170.580485677887
20656:2824177;2:450711,20656:2824177,2:450711,f,7,,40,121.098047002235
16592:20523;20656:2864523,16592:20523,20656:2864523,f,7,,30,24.9427819778698
20661:25260;20661:25243,20661:25260,20661:25243,f,7,,30,253.899971468506
11154:7491;11154:7497,11154:7491,11154:7497,f,7,,30,91.3258378741058
2:3710748;12726:148440,2:3710748,12726:148440,f,7,,50,5.41260944466331
2:455597;2:455622,2:455597,2:455622,f,7,,30,90.9684574454662
